,num,store,address,phone
0,9460,구미인동 ,"경상북도 구미시 인동가산로 9-3, 노블레스타워 1층 (황상동)",1522-3232
1,9462,동빙고 ,서울특별시 용산구 장문로 12 (동빙고동),1522-3232
2,9463,명동M-Plaza ,서울특별시 중구 명동8길 27 (명동2가),1522-3232
3,9464,SKT Tower ,"서울특별시 중구 을지로 65, SK텔레콤빌딩 1층 로비 (을지로2가)",1522-3232
4,9466,춘천명동 ,강원도 춘천시 중앙로 57 (중앙로2가),1522-3232
5,9467,현대동구 ,울산광역시 동구 방어진순환도로 899 (서부동) 현대백화점주차장,1522-3232
6,9469,서울극장 ,서울특별시 종로구 돈화문로 13 (관수동) 서울극장,1522-3232
7,9470,당산역 ,"서울특별시 영등포구 당산로 231, 대원빌딩 1,2층 (당산동6가)",1522-3232
8,9472,애오개역 ,"서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)",1522-3232
9,9473,상명아트홀 ,서울특별시 종로구 동숭길 133 (동숭동),1522-3232
10,9474,대구캠프워커 ,대구광역시 남구 용두1길 92 미군기지 대구캠프워커 (봉덕동),1522-3232
11,9475,의정부중앙 ,경기도 의정부시 행복로 7 (의정부동),1522-3232
12,9476,인천공항에어 ,인천광역시 중구 공항로 272 (운서동) 인천공항,1522-3232
13,9477,청량리역 ,서울특별시 동대문구 왕산로40길 2 (전농동),1522-3232
14,9478,삼성현대힐 ,서울특별시 강남구 삼성로 605 (삼성동),1522-3232
15,9479,블루스퀘어 ,부산광역시 해운대구 좌동로 96 (좌동),1522-3232
16,9481,군산AB ,전라북도 군산시 옥서면 산동길 2 ,1522-3232
17,9482,성수이마트 ,서울특별시 성동구 뚝섬로 379 (성수동2가) 이마트 성수점,1522-3232
18,9483,구월길병원 ,"인천광역시 남동구 남동대로 773, , 14 삼성화재 인천사옥 (구월동)",1522-3232
